年月,店舗名,店舗表示順,レート区分,台数,店舗全体台数,台数シェア,売上合計_千円,店舗全体売上_千円,売上シェア,補粗利合計,店舗全体補粗利,補粗利シェア,売上差_pt,補粗利差_pt,平均差_pt,判定,優先度
2025-09,大間々店,14,1円P,240,983,24.4,66908,527028,12.7,13019553,78333216,16.6,-11.7,-7.8,-9.8,過剰,高
2025-09,大間々店,14,1円未満P,0,983,0.0,0,527028,0.0,0,78333216,0.0,0.0,0.0,0.0,適正,低
2025-09,大間々店,14,20円超S,332,983,33.8,275820,527028,52.3,28791696,78333216,36.8,18.6,3.0,10.8,要確認,高
2025-09,大間々店,14,5円S,84,983,8.5,33809,527028,6.4,5138211,78333216,6.6,-2.1,-2.0,-2.1,適正,低
2025-09,大間々店,14,5円未満S,0,983,0.0,0,527028,0.0,0,78333216,0.0,0.0,0.0,0.0,適正,低
2025-09,館林店,15,4円超P,231,865,26.7,151534,484814,31.3,26684032,74012695,36.1,4.6,9.3,6.9,不足,高
2025-09,館林店,15,1円P,235,865,27.2,53424,484814,11.0,10144378,74012695,13.7,-16.1,-13.5,-14.8,過剰,高
2025-09,館林店,15,1円未満P,0,865,0.0,0,484814,0.0,0,74012695,0.0,0.0,0.0,0.0,適正,低
2025-09,館林店,15,20円超S,359,865,41.5,264186,484814,54.5,35720977,74012695,48.3,13.0,6.8,9.9,不足,高
2025-09,館林店,15,5円S,40,865,4.6,15669,484814,3.2,1463308,74012695,2.0,-1.4,-2.6,-2.0,適正,低
2025-09,館林店,15,5円未満S,0,865,0.0,0,484814,0.0,0,74012695,0.0,0.0,0.0,0.0,適正,低
2025-09,太田矢島店,16,4円超P,223,822,27.1,164807,590666,27.9,22978516,81940106,28.0,0.8,0.9,0.8,適正,低
2025-09,太田矢島店,16,1円P,211,822,25.7,69673,590666,11.8,15415913,81940106,18.8,-13.9,-6.9,-10.4,過剰,高
2025-09,太田矢島店,16,1円未満P,0,822,0.0,0,590666,0.0,0,81940106,0.0,0.0,0.0,0.0,適正,低
2025-09,太田矢島店,16,20円超S,346,822,42.1,336486,590666,57.0,41419500,81940106,50.5,14.9,8.5,11.7,不足,高
2025-09,太田矢島店,16,5円S,42,822,5.1,19701,590666,3.3,2126177,81940106,2.6,-1.8,-2.5,-2.1,適正,低
2025-09,太田矢島店,16,5円未満S,0,822,0.0,0,590666,0.0,0,81940106,0.0,0.0,0.0,0.0,適正,低
2025-09,太田店,17,4円超P,314,1045,30.0,166250,596905,27.9,31331588,90657256,34.6,-2.2,4.5,1.2,要確認,中
2025-09,太田店,17,1円P,283,1045,27.1,80079,596905,13.4,17696983,90657256,19.5,-13.7,-7.6,-10.6,過剰,高
2025-09,太田店,17,1円未満P,36,1045,3.4,4157,596905,0.7,1331634,90657256,1.5,-2.7,-2.0,-2.4,適正,低
2025-09,太田店,17,20円超S,355,1045,34.0,319516,596905,53.5,35770871,90657256,39.5,19.6,5.5,12.5,不足,高
2025-09,太田店,17,5円S,57,1045,5.5,26903,596905,4.5,4526180,90657256,5.0,-0.9,-0.5,-0.7,適正,低
2025-09,太田店,17,5円未満S,0,1045,0.0,0,596905,0.0,0,90657256,0.0,0.0,0.0,0.0,適正,低
2025-09,上越店,18,4円超P,351,1337,26.3,120120,595342,20.2,27764819,101148455,27.4,-6.1,1.2,-2.4,要確認,高
2025-09,上越店,18,1円P,237,1337,17.7,41010,595342,6.9,9771072,101148455,9.7,-10.8,-8.1,-9.5,過剰,高
2025-09,上越店,18,1円未満P,86,1337,6.4,5818,595342,1.0,1815686,101148455,1.8,-5.5,-4.6,-5.0,過剰,中
2025-09,上越店,18,20円超S,575,1337,43.0,402245,595342,67.6,55464228,101148455,54.8,24.6,11.8,18.2,不足,高
2025-09,上越店,18,5円S,89,1337,6.7,26150,595342,4.4,6332650,101148455,6.3,-2.3,-0.4,-1.3,適正,低
2025-09,上越店,18,5円未満S,0,1337,0.0,0,595342,0.0,0,101148455,0.0,0.0,0.0,0.0,適正,低
2025-09,上田店,19,4円超P,273,788,34.6,207383,499808,41.5,44003920,80979696,54.3,6.8,19.7,13.3,不足,高
2025-09,上田店,19,1円P,158,788,20.1,57257,499808,11.5,12419636,80979696,15.3,-8.6,-4.7,-6.7,過剰,高
2025-09,上田店,19,1円未満P,0,788,0.0,0,499808,0.0,0,80979696,0.0,0.0,0.0,0.0,適正,低
2025-09,上田店,19,20円超S,328,788,41.6,226025,499808,45.2,23312060,80979696,28.8,3.6,-12.8,-4.6,要確認,高
2025-09,上田店,19,5円S,28,788,3.6,9144,499808,1.8,1244080,80979696,1.5,-1.7,-2.0,-1.9,適正,低
2025-09,上田店,19,5円未満S,0,788,0.0,0,499808,0.0,0,80979696,0.0,0.0,0.0,0.0,適正,低
2025-09,S熊谷店,20,4円超P,318,1027,31.0,317558,876572,36.2,50349376,128057394,39.3,5.3,8.4,6.8,不足,高
2025-09,S熊谷店,20,1円P,265,1027,25.8,99437,876572,11.3,21599092,128057394,16.9,-14.5,-8.9,-11.7,過剰,高
2025-09,S熊谷店,20,1円未満P,0,1027,0.0,0,876572,0.0,0,128057394,0.0,0.0,0.0,0.0,適正,低
2025-09,S熊谷店,20,20円超S,395,1027,38.5,438575,876572,50.0,53498348,128057394,41.8,11.6,3.3,7.4,不足,高
2025-09,S熊谷店,20,5円S,49,1027,4.8,21003,876572,2.4,2610578,128057394,2.0,-2.4,-2.7,-2.6,適正,低
2025-09,S熊谷店,20,5円未満S,0,1027,0.0,0,876572,0.0,0,128057394,0.0,0.0,0.0,0.0,適正,低
2025-09,S鴻巣店,21,4円超P,301,1035,29.1,239606,717512,33.4,44526748,105198025,42.3,4.3,13.2,8.8,不足,高
2025-09,S鴻巣店,21,1円P,209,1035,20.2,61253,717512,8.5,13099217,105198025,12.5,-11.7,-7.7,-9.7,過剰,高
2025-09,S鴻巣店,21,1円未満P,0,1035,0.0,0,717512,0.0,0,105198025,0.0,0.0,0.0,0.0,適正,低
2025-09,S鴻巣店,21,20円超S,439,1035,42.4,384759,717512,53.6,43613393,105198025,41.5,11.2,-1.0,5.1,要確認,高
2025-09,S鴻巣店,21,5円S,86,1035,8.3,31894,717512,4.4,3958667,105198025,3.8,-3.9,-4.5,-4.2,過剰,中
2025-09,S鴻巣店,21,5円未満S,0,1035,0.0,0,717512,0.0,0,105198025,0.0,0.0,0.0,0.0,適正,低
2025-09,S上里店,22,4円超P,280,986,28.4,143107,529003,27.1,23842388,75159913,31.7,-1.3,3.3,1.0,要確認,中
2025-09,S上里店,22,1円P,198,986,20.1,51328,529003,9.7,11607419,75159913,15.4,-10.4,-4.6,-7.5,過剰,高
2025-09,S上里店,22,1円未満P,0,986,0.0,0,529003,0.0,0,75159913,0.0,0.0,0.0,0.0,適正,低
2025-09,S上里店,22,20円超S,388,986,39.4,295255,529003,55.8,35964412,75159913,47.9,16.5,8.5,12.5,不足,高
2025-09,S上里店,22,5円S,120,986,12.2,39313,529003,7.4,3745694,75159913,5.0,-4.7,-7.2,-6.0,過剰,高
2025-09,S上里店,22,5円未満S,0,986,0.0,0,529003,0.0,0,75159913,0.0,0.0,0.0,0.0,適正,低
2025-09,入間店,23,4円超P,302,998,30.3,152675,527027,29.0,31744716,82664371,38.4,-1.3,8.1,3.4,要確認,高
2025-09,入間店,23,1円P,200,998,20.0,51760,527027,9.8,10683436,82664371,12.9,-10.2,-7.1,-8.7,過剰,高
2025-09,入間店,23,1円未満P,0,998,0.0,0,527027,0.0,0,82664371,0.0,0.0,0.0,0.0,適正,低
2025-09,入間店,23,20円超S,426,998,42.7,297370,527027,56.4,36618717,82664371,44.3,13.7,1.6,7.7,要確認,高
2025-09,入間店,23,5円S,69,998,6.9,25223,527027,4.8,3617502,82664371,4.4,-2.1,-2.5,-2.3,適正,低
2025-09,入間店,23,5円未満S,0,998,0.0,0,527027,0.0,0,82664371,0.0,0.0,0.0,0.0,適正,低
2025-09,坂戸店,24,4円超P,318,937,33.9,377390,835348,45.2,60544012,121402425,49.9,11.2,15.9,13.6,不足,高
2025-09,坂戸店,24,1円P,189,937,20.2,61112,835348,7.3,12777316,121402425,10.5,-12.9,-9.6,-11.3,過剰,高
2025-09,坂戸店,24,1円未満P,0,937,0.0,0,835348,0.0,0,121402425,0.0,0.0,0.0,0.0,適正,低
2025-09,坂戸店,24,20円超S,372,937,39.7,372022,835348,44.5,45137956,121402425,37.2,4.8,-2.5,1.2,要確認,中
2025-09,坂戸店,24,5円S,59,937,6.3,24824,835348,3.0,2943141,121402425,2.4,-3.3,-3.9,-3.6,過剰,中
2025-09,坂戸店,24,5円未満S,0,937,0.0,0,835348,0.0,0,121402425,0.0,0.0,0.0,0.0,適正,低
2025-09,花園店,25,4円超P,373,896,41.6,444984,902666,49.3,73867808,141439258,52.2,7.7,10.6,9.1,不足,高
2025-09,花園店,25,1円P,169,896,18.9,74232,902666,8.2,15443211,141439258,10.9,-10.6,-7.9,-9.3,過剰,高
2025-09,花園店,25,1円未満P,0,896,0.0,0,902666,0.0,0,141439258,0.0,0.0,0.0,0.0,適正,低
2025-09,花園店,25,20円超S,354,896,39.5,383450,902666,42.5,52128239,141439258,36.9,3.0,-2.7,0.2,適正,低
2025-09,花園店,25,5円S,0,896,0.0,0,902666,0.0,0,141439258,0.0,0.0,0.0,0.0,適正,低
2025-09,花園店,25,5円未満S,0,896,0.0,0,902666,0.0,0,141439258,0.0,0.0,0.0,0.0,適正,低
2025-09,杉戸店,26,4円超P,223,813,27.4,105670,407175,26.0,24961356,67964870,36.7,-1.5,9.3,3.9,要確認,高
2025-09,杉戸店,26,1円P,166,813,20.4,37220,407175,9.1,9033146,67964870,13.3,-11.3,-7.1,-9.2,過剰,高
2025-09,杉戸店,26,1円未満P,0,813,0.0,0,407175,0.0,0,67964870,0.0,0.0,0.0,0.0,適正,低
2025-09,杉戸店,26,20円超S,341,813,41.9,240852,407175,59.2,30893937,67964870,45.5,17.2,3.5,10.4,不足,高
2025-09,杉戸店,26,5円S,84,813,10.3,23434,407175,5.8,3076431,67964870,4.5,-4.6,-5.8,-5.2,過剰,中
2025-09,杉戸店,26,5円未満S,0,813,0.0,0,407175,0.0,0,67964870,0.0,0.0,0.0,0.0,適正,低
2025-09,羽生店,27,4円超P,199,793,25.1,100711,351797,28.6,20136000,50264436,40.1,3.5,15.0,9.2,不足,高
2025-09,羽生店,27,1円P,198,793,25.0,40317,351797,11.5,7762000,50264436,15.4,-13.5,-9.5,-11.5,過剰,高
2025-09,羽生店,27,1円未満P,0,793,0.0,0,351797,0.0,0,50264436,0.0,0.0,0.0,0.0,適正,低
2025-09,羽生店,27,20円超S,317,793,40.0,189985,351797,54.0,19363259,50264436,38.5,14.0,-1.5,6.3,要確認,高
2025-09,羽生店,27,5円S,80,793,10.1,20785,351797,5.9,3003177,50264436,6.0,-4.2,-4.1,-4.1,過剰,中
2025-09,羽生店,27,5円未満S,0,793,0.0,0,351797,0.0,0,50264436,0.0,0.0,0.0,0.0,適正,低
2025-09,千葉みなと店,28,4円超P,277,999,27.7,131177,475493,27.6,27934536,84447660,33.1,-0.1,5.4,2.6,要確認,中
2025-09,千葉みなと店,28,1円P,236,999,23.6,65616,475493,13.8,16584816,84447660,19.6,-9.8,-4.0,-6.9,過剰,高
2025-09,千葉みなと店,28,1円未満P,36,999,3.6,4846,475493,1.0,1344709,84447660,1.6,-2.6,-2.0,-2.3,適正,低
2025-09,千葉みなと店,28,20円超S,288,999,28.8,211815,475493,44.5,29323217,84447660,34.7,15.7,5.9,10.8,不足,高
2025-09,千葉みなと店,28,5円S,138,999,13.8,56586,475493,11.9,8386939,84447660,9.9,-1.9,-3.9,-2.9,要確認,中
2025-09,千葉みなと店,28,5円未満S,24,999,2.4,5454,475493,1.1,873443,84447660,1.0,-1.3,-1.4,-1.3,適正,低
2025-09,浜野店,29,4円超P,318,916,34.7,299931,764442,39.2,40255452,96282719,41.8,4.5,7.1,5.8,不足,高
2025-09,浜野店,29,1円P,191,916,20.9,65534,764442,8.6,15714744,96282719,16.3,-12.3,-4.5,-8.4,過剰,高
2025-09,浜野店,29,1円未満P,0,916,0.0,0,764442,0.0,0,96282719,0.0,0.0,0.0,0.0,適正,低
2025-09,浜野店,29,20円超S,325,916,35.5,355184,764442,46.5,33426585,96282719,34.7,11.0,-0.8,5.1,要確認,高
2025-09,浜野店,29,5円S,83,916,9.1,43794,764442,5.7,6885938,96282719,7.2,-3.3,-1.9,-2.6,要確認,中
2025-09,浜野店,29,5円未満S,0,916,0.0,0,764442,0.0,0,96282719,0.0,0.0,0.0,0.0,適正,低
2025-09,佐倉店,30,4円超P,283,823,34.4,264409,632990,41.8,42090276,87328688,48.2,7.4,13.8,10.6,不足,高
2025-09,佐倉店,30,1円P,197,823,23.9,64286,632990,10.2,14857695,87328688,17.0,-13.8,-6.9,-10.4,過剰,高
2025-09,佐倉店,30,1円未満P,0,823,0.0,0,632990,0.0,0,87328688,0.0,0.0,0.0,0.0,適正,低
2025-09,佐倉店,30,20円超S,287,823,34.9,282978,632990,44.7,26432283,87328688,30.3,9.8,-4.6,2.6,要確認,高
2025-09,佐倉店,30,5円S,55,823,6.7,21317,632990,3.4,3948434,87328688,4.5,-3.3,-2.2,-2.7,要確認,中
2025-09,佐倉店,30,5円未満S,0,823,0.0,0,632990,0.0,0,87328688,0.0,0.0,0.0,0.0,適正,低
2025-09,S東金店,31,4円超P,300,952,31.5,417243,1025590,40.7,6815656,-8686069,-78.5,9.2,-110.0,-50.4,要確認,高
2025-09,S東金店,31,1円P,186,952,19.5,84644,1025590,8.3,12498554,-8686069,-143.9,-11.3,-163.4,-87.4,過剰,高
2025-09,S東金店,31,1円未満P,0,952,0.0,0,1025590,0.0,0,-8686069,-0.0,0.0,-0.0,0.0,適正,低
2025-09,S東金店,31,20円超S,420,952,44.1,499874,1025590,48.7,-31596262,-8686069,363.8,4.6,319.6,162.1,不足,高
2025-09,S東金店,31,5円S,47,952,4.9,23829,1025590,2.3,3595983,-8686069,-41.4,-2.6,-46.3,-24.5,要確認,高
2025-09,S東金店,31,5円未満S,0,952,0.0,0,1025590,0.0,0,-8686069,-0.0,0.0,-0.0,0.0,適正,低
2025-09,旭店,32,4円超P,221,702,31.5,65752,263345,25.0,16168360,44401944,36.4,-6.5,4.9,-0.8,要確認,高
2025-09,旭店,32,1円P,185,702,26.4,36240,263345,13.8,6994020,44401944,15.8,-12.6,-10.6,-11.6,過剰,高
2025-09,旭店,32,1円未満P,38,702,5.4,3085,263345,1.2,611576,44401944,1.4,-4.2,-4.0,-4.1,過剰,中
2025-09,旭店,32,20円超S,220,702,31.3,145747,263345,55.3,19452565,44401944,43.8,24.0,12.5,18.2,不足,高
2025-09,旭店,32,5円S,38,702,5.4,12521,263345,4.8,1175423,44401944,2.6,-0.7,-2.8,-1.7,適正,低
2025-09,旭店,32,5円未満S,0,702,0.0,0,263345,0.0,0,44401944,0.0,0.0,0.0,0.0,適正,低
2025-09,妙典駅前店,33,4円超P,142,635,22.4,154154,505554,30.5,23380200,73231784,31.9,8.1,9.6,8.8,不足,高
2025-09,妙典駅前店,33,1円P,130,635,20.5,46034,505554,9.1,8107800,73231784,11.1,-11.4,-9.4,-10.4,過剰,高
2025-09,妙典駅前店,33,1円未満P,0,635,0.0,0,505554,0.0,0,73231784,0.0,0.0,0.0,0.0,適正,低
2025-09,妙典駅前店,33,20円超S,310,635,48.8,280763,505554,55.5,39611086,73231784,54.1,6.7,5.3,6.0,不足,高
2025-09,妙典駅前店,33,5円S,54,635,8.5,24604,505554,4.9,2132698,73231784,2.9,-3.6,-5.6,-4.6,過剰,中
2025-09,妙典駅前店,33,5円未満S,0,635,0.0,0,505554,0.0,0,73231784,0.0,0.0,0.0,0.0,適正,低
2025-09,ＷＡＫＯ鹿島店,34,4円超P,318,837,38.0,290435,530131,54.8,48377315,95069580,50.9,16.8,12.9,14.8,不足,高
2025-09,ＷＡＫＯ鹿島店,34,1円P,248,837,29.6,59323,530131,11.2,13147774,95069580,13.8,-18.4,-15.8,-17.1,過剰,高
2025-09,ＷＡＫＯ鹿島店,34,1円未満P,0,837,0.0,0,530131,0.0,0,95069580,0.0,0.0,0.0,0.0,適正,低
2025-09,ＷＡＫＯ鹿島店,34,20円超S,249,837,29.7,176372,530131,33.3,32495028,95069580,34.2,3.5,4.4,4.0,不足,中
2025-09,ＷＡＫＯ鹿島店,34,5円S,22,837,2.6,4001,530131,0.8,1049463,95069580,1.1,-1.9,-1.5,-1.7,適正,低
2025-09,ＷＡＫＯ鹿島店,34,5円未満S,0,837,0.0,0,530131,0.0,0,95069580,0.0,0.0,0.0,0.0,適正,低
2025-09,神栖店,35,4円超P,318,894,35.6,203374,558210,36.4,40690652,101797671,40.0,0.9,4.4,2.6,要確認,中
2025-09,神栖店,35,1円P,175,894,19.6,42200,558210,7.6,10015025,101797671,9.8,-12.0,-9.7,-10.9,過剰,高
2025-09,神栖店,35,1円未満P,0,894,0.0,0,558210,0.0,0,101797671,0.0,0.0,0.0,0.0,適正,低
2025-09,神栖店,35,20円超S,365,894,40.8,302178,558210,54.1,48961335,101797671,48.1,13.3,7.3,10.3,不足,高
2025-09,神栖店,35,5円S,37,894,4.1,10459,558210,1.9,2130659,101797671,2.1,-2.3,-2.0,-2.2,適正,低
2025-09,神栖店,35,5円未満S,0,894,0.0,0,558210,0.0,0,101797671,0.0,0.0,0.0,0.0,適正,低
2025-09,立川店,36,4円超P,322,996,32.3,148728,481425,30.9,32555221,73209461,44.5,-1.4,12.1,5.4,要確認,高
2025-09,立川店,36,1円P,230,996,23.1,42682,481425,8.9,10479847,73209461,14.3,-14.2,-8.8,-11.5,過剰,高
2025-09,立川店,36,1円未満P,0,996,0.0,0,481425,0.0,0,73209461,0.0,0.0,0.0,0.0,適正,低
2025-09,立川店,36,20円超S,359,996,36.0,268562,481425,55.8,24673435,73209461,33.7,19.7,-2.3,8.7,要確認,高
2025-09,立川店,36,5円S,85,996,8.5,21453,481425,4.5,5500958,73209461,7.5,-4.1,-1.0,-2.5,要確認,中
2025-09,立川店,36,5円未満S,0,996,0.0,0,481425,0.0,0,73209461,0.0,0.0,0.0,0.0,適正,低
2025-09,新小岩店,37,4円超P,227,753,30.1,160306,451052,35.5,32527626,91462985,35.6,5.4,5.4,5.4,不足,中
2025-09,新小岩店,37,1円P,246,753,32.7,64363,451052,14.3,15327713,91462985,16.8,-18.4,-15.9,-17.2,過剰,高
2025-09,新小岩店,37,1円未満P,0,753,0.0,0,451052,0.0,0,91462985,0.0,0.0,0.0,0.0,適正,低
2025-09,新小岩店,37,20円超S,280,753,37.2,226383,451052,50.2,43607646,91462985,47.7,13.0,10.5,11.7,不足,高
2025-09,新小岩店,37,5円S,0,753,0.0,0,451052,0.0,0,91462985,0.0,0.0,0.0,0.0,適正,低
2025-09,新小岩店,37,5円未満S,0,753,0.0,0,451052,0.0,0,91462985,0.0,0.0,0.0,0.0,適正,低
2025-09,八王子北野店,38,4円超P,88,615,14.3,45984,323072,14.2,10163035,52564904,19.3,-0.1,5.0,2.5,要確認,中
2025-09,八王子北野店,38,1円P,63,615,10.2,18504,323072,5.7,5758260,52564904,11.0,-4.5,0.7,-1.9,要確認,中
2025-09,八王子北野店,38,1円未満P,0,615,0.0,0,323072,0.0,0,52564904,0.0,0.0,0.0,0.0,適正,低
2025-09,八王子北野店,38,20円超S,373,615,60.7,232898,323072,72.1,30515905,52564904,58.1,11.4,-2.6,4.4,要確認,高
2025-09,八王子北野店,38,5円S,92,615,15.0,25686,323072,8.0,6127704,52564904,11.7,-7.0,-3.3,-5.2,過剰,高
2025-09,八王子北野店,38,5円未満S,0,615,0.0,0,323072,0.0,0,52564904,0.0,0.0,0.0,0.0,適正,低
2025-09,錦糸町店,39,4円超P,489,988,49.5,634628,1100191,57.7,114073577,177437208,64.3,8.2,14.8,11.5,不足,高
2025-09,錦糸町店,39,1円P,104,988,10.5,43644,1100191,4.0,13610847,177437208,7.7,-6.6,-2.9,-4.7,要確認,高
2025-09,錦糸町店,39,1円未満P,0,988,0.0,0,1100191,0.0,0,177437208,0.0,0.0,0.0,0.0,適正,低
2025-09,錦糸町店,39,20円超S,394,988,39.9,421920,1100191,38.3,49752784,177437208,28.0,-1.5,-11.8,-6.7,要確認,高
2025-09,錦糸町店,39,5円S,0,988,0.0,0,1100191,0.0,0,177437208,0.0,0.0,0.0,0.0,適正,低
2025-09,錦糸町店,39,5円未満S,0,988,0.0,0,1100191,0.0,0,177437208,0.0,0.0,0.0,0.0,適正,低
2025-09,座間店,40,4円超P,320,1026,31.2,123482,464270,26.6,25540620,78267485,32.6,-4.6,1.4,-1.6,要確認,中
2025-09,座間店,40,1円P,252,1026,24.6,66582,464270,14.3,17171125,78267485,21.9,-10.2,-2.6,-6.4,要確認,高
2025-09,座間店,40,1円未満P,0,1026,0.0,0,464270,0.0,0,78267485,0.0,0.0,0.0,0.0,適正,低
2025-09,座間店,40,20円超S,354,1026,34.5,241144,464270,51.9,30770151,78267485,39.3,17.4,4.8,11.1,不足,高
2025-09,座間店,40,5円S,101,1026,9.8,33063,464270,7.1,4785589,78267485,6.1,-2.7,-3.7,-3.2,要確認,中
2025-09,座間店,40,5円未満S,0,1026,0.0,0,464270,0.0,0,78267485,0.0,0.0,0.0,0.0,適正,低
2025-09,平塚駅前店,41,4円超P,322,995,32.4,226427,647881,34.9,46551240,110036204,42.3,2.6,9.9,6.3,要確認,高
2025-09,平塚駅前店,41,1円P,196,995,19.7,55798,647881,8.6,14113641,110036204,12.8,-11.1,-6.9,-9.0,過剰,高
2025-09,平塚駅前店,41,1円未満P,35,995,3.5,6146,647881,0.9,1582533,110036204,1.4,-2.6,-2.1,-2.3,適正,低
2025-09,平塚駅前店,41,20円超S,377,995,37.9,327314,647881,50.5,43739693,110036204,39.8,12.6,1.9,7.2,要確認,高
2025-09,平塚駅前店,41,5円S,64,995,6.4,32195,647881,5.0,4049097,110036204,3.7,-1.5,-2.8,-2.1,適正,低
2025-09,平塚駅前店,41,5円未満S,0,995,0.0,0,647881,0.0,0,110036204,0.0,0.0,0.0,0.0,適正,低
2025-09,上永谷店,42,4円超P,140,639,21.9,50520,251123,20.1,12997720,43237938,30.1,-1.8,8.2,3.2,要確認,高
2025-09,上永谷店,42,1円P,131,639,20.5,37711,251123,15.0,10741010,43237938,24.8,-5.5,4.3,-0.6,要確認,中
2025-09,上永谷店,42,1円未満P,49,639,7.7,6514,251123,2.6,2232805,43237938,5.2,-5.1,-2.5,-3.8,要確認,中
2025-09,上永谷店,42,20円超S,249,639,39.0,136185,251123,54.2,13936392,43237938,32.2,15.3,-6.7,4.3,要確認,高
2025-09,上永谷店,42,5円S,71,639,11.1,20193,251123,8.0,3330011,43237938,7.7,-3.1,-3.4,-3.2,過剰,中
2025-09,上永谷店,42,5円未満S,0,639,0.0,0,251123,0.0,0,43237938,0.0,0.0,0.0,0.0,適正,低
2025-09,姫路店,43,4円超P,236,908,26.0,110971,472970,23.5,19632204,70019118,28.0,-2.5,2.0,-0.2,適正,低
2025-09,姫路店,43,1円P,200,908,22.0,41147,472970,8.7,10614025,70019118,15.2,-13.3,-6.9,-10.1,過剰,高
2025-09,姫路店,43,1円未満P,0,908,0.0,0,472970,0.0,0,70019118,0.0,0.0,0.0,0.0,適正,低
2025-09,姫路店,43,20円超S,389,908,42.8,287332,472970,60.8,34017986,70019118,48.6,17.9,5.7,11.8,不足,高
2025-09,姫路店,43,5円S,84,908,9.3,33520,472970,7.1,5754903,70019118,8.2,-2.2,-1.0,-1.6,適正,低
2025-09,姫路店,43,5円未満S,0,908,0.0,0,472970,0.0,0,70019118,0.0,0.0,0.0,0.0,適正,低
2025-09,新開地店,44,4円超P,401,1336,30.0,428823,1003687,42.7,73183389,133092545,55.0,12.7,25.0,18.8,不足,高
2025-09,新開地店,44,1円P,236,1336,17.7,73657,1003687,7.3,14143697,133092545,10.6,-10.3,-7.0,-8.7,過剰,高
2025-09,新開地店,44,1円未満P,0,1336,0.0,0,1003687,0.0,0,133092545,0.0,0.0,0.0,0.0,適正,低
2025-09,新開地店,44,20円超S,585,1336,43.8,462791,1003687,46.1,39385649,133092545,29.6,2.3,-14.2,-5.9,要確認,高
2025-09,新開地店,44,5円S,114,1336,8.5,38417,1003687,3.8,6379810,133092545,4.8,-4.7,-3.7,-4.2,過剰,中
2025-09,新開地店,44,5円未満S,0,1336,0.0,0,1003687,0.0,0,133092545,0.0,0.0,0.0,0.0,適正,低
2025-09,仙台東店,45,4円超P,257,833,30.9,247151,636758,38.8,50610231,103137438,49.1,8.0,18.2,13.1,不足,高
2025-09,仙台東店,45,1円P,182,833,21.8,64926,636758,10.2,12812639,103137438,12.4,-11.7,-9.4,-10.5,過剰,高
2025-09,仙台東店,45,1円未満P,0,833,0.0,0,636758,0.0,0,103137438,0.0,0.0,0.0,0.0,適正,低
2025-09,仙台東店,45,20円超S,366,833,43.9,309984,636758,48.7,37234588,103137438,36.1,4.7,-7.8,-1.5,要確認,高
2025-09,仙台東店,45,5円S,28,833,3.4,14697,636758,2.3,2479980,103137438,2.4,-1.1,-1.0,-1.0,適正,低
2025-09,仙台東店,45,5円未満S,0,833,0.0,0,636758,0.0,0,103137438,0.0,0.0,0.0,0.0,適正,低
2025-09,仙台泉店,46,4円超P,371,909,40.8,396264,819432,48.4,68097671,140645924,48.4,7.5,7.6,7.6,不足,高
2025-09,仙台泉店,46,1円P,166,909,18.3,66358,819432,8.1,16138099,140645924,11.5,-10.2,-6.8,-8.5,過剰,高
2025-09,仙台泉店,46,1円未満P,0,909,0.0,0,819432,0.0,0,140645924,0.0,0.0,0.0,0.0,適正,低
2025-09,仙台泉店,46,20円超S,347,909,38.2,345412,819432,42.2,54736474,140645924,38.9,4.0,0.7,2.4,要確認,中
2025-09,仙台泉店,46,5円S,25,909,2.8,11399,819432,1.4,1673680,140645924,1.2,-1.4,-1.6,-1.5,適正,低
2025-09,仙台泉店,46,5円未満S,0,909,0.0,0,819432,0.0,0,140645924,0.0,0.0,0.0,0.0,適正,低
2025-09,福岡本店,47,4円超P,412,1166,35.3,245134,709917,34.5,48109622,124713889,38.6,-0.8,3.2,1.2,要確認,中
2025-09,福岡本店,47,1円P,214,1166,18.4,66989,709917,9.4,16737634,124713889,13.4,-8.9,-4.9,-6.9,過剰,高
2025-09,福岡本店,47,1円未満P,0,1166,0.0,0,709917,0.0,0,124713889,0.0,0.0,0.0,0.0,適正,低
2025-09,福岡本店,47,20円超S,460,1166,39.5,367671,709917,51.8,52973074,124713889,42.5,12.3,3.0,7.7,不足,高
2025-09,福岡本店,47,5円S,80,1166,6.9,30124,709917,4.2,6893559,124713889,5.5,-2.6,-1.3,-2.0,適正,低
2025-09,福岡本店,47,5円未満S,0,1166,0.0,0,709917,0.0,0,124713889,0.0,0.0,0.0,0.0,適正,低
2025-09,筑紫野店,48,4円超P,634,1693,37.4,385316,953725,40.4,77117927,166950440,46.2,3.0,8.7,5.8,要確認,高
2025-09,筑紫野店,48,1円P,398,1693,23.5,111625,953725,11.7,26059320,166950440,15.6,-11.8,-7.9,-9.9,過剰,高
2025-09,筑紫野店,48,1円未満P,0,1693,0.0,0,953725,0.0,0,166950440,0.0,0.0,0.0,0.0,適正,低
2025-09,筑紫野店,48,20円超S,550,1693,32.5,414618,953725,43.5,53853572,166950440,32.3,11.0,-0.2,5.4,要確認,高
2025-09,筑紫野店,48,5円S,111,1693,6.6,42167,953725,4.4,9919621,166950440,5.9,-2.1,-0.6,-1.4,適正,低
2025-09,筑紫野店,48,5円未満S,0,1693,0.0,0,953725,0.0,0,166950440,0.0,0.0,0.0,0.0,適正,低
2025-09,福重店,49,4円超P,327,995,32.9,255127,676556,37.7,55153062,135951070,40.6,4.8,7.7,6.3,不足,高
